FileName_original,Row1,Row2,Row3,Row4,Row5,Row6,Row7
1D ura crop 4-23-18.tif,7472,6154,4792,4431,6109,6503,7353
1D ura crop 6-26-18.tif,12606,9117,9290,8882,9530,8873,13175
2D azc crop 4-23-18.tif,474,182,3510,544,921,1119,2922
2D min crop 4-23-18.tif,7724,5878,4466,4851,4290,5362,7149
2D rapa crop 4-23-18.tif,4470,3850,607,3401,2707,2132,2752
