ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Row0,Classify_Row1,Classify_Row2,Classify_Row3,Classify_Row4,Classify_Row5,Classify_Row6,Classify_Row7,Location_Center_X,Location_Center_Y,Number_Object_Number
4,6,1559,246.0,144.0,1.0,1.3431397278026271,0.3800418731245294,-48.0,0.5993848519800077,0.03668631305891197,53.57076610865448,52.20153254455275,5.0,1.6578692623654732,1.4142135623730951,48.178662146623914,49.55131312245085,-56.2311398787687,730.7619999999981,0.7629067775874726,0,0,1,0,0,0,0,0,227.0987812700449,150.16677357280307,6
4,7,1333,318.0,132.0,1.0,1.580043938873443,0.4403308692096376,-9.0,0.5026395173453997,0.0428060198447248,54.45747449831215,53.71219600798314,5.0,1.754067996160164,1.4142135623730951,48.29906831399546,48.89385810773013,-66.46426469594793,625.5579999999981,0.645364318566933,0,0,1,0,0,0,0,0,306.49437359339834,148.75543885971493,7
4,8,1275,394.0,171.0,1.0,1.8907220851637312,0.5435499532170112,-1.0,0.42162698412698413,0.06945998127326669,59.96387499982026,56.089214649520635,6.0,2.1180081224697322,2.0,48.03342528647505,50.33228679811267,62.90868073053844,480.2779999999985,0.5708529214237742,0,0,1,0,0,0,0,0,388.90431372549017,151.961568627451,8
4,9,1317,141.0,242.0,1.0,1.3947118441324564,0.20828936522225372,-37.0,0.5718627876682588,0.027536996588358943,48.86745522408183,48.373546489791295,4.0,1.493210458321082,1.4142135623730951,46.0,47.79565741592977,-78.29812769194032,775.245999999998,0.7210511908020806,0,0,0,1,0,0,0,0,145.7486712224753,233.5322703113136,9
4,10,1169,244.0,234.0,1.0,1.6590990052208827,0.1755926224973277,-21.0,0.5181737588652482,0.026386335073422962,50.0514401781877,47.80167361086848,4.0,1.4405593583575582,1.0,46.0,49.27378669558603,-4.73697708232868,746.143999999998,0.6407234858865442,0,0,0,1,0,0,0,0,225.27801539777587,236.393498716852,10
4,11,1118,320.0,219.0,1.0,1.99969090789401,0.3618113711506384,5.0,0.4215686274509804,0.03257074549086697,55.14980403165208,52.15361924162119,5.0,1.5866920127115571,1.4142135623730951,48.74565069355892,51.413477844783074,-45.24264239763995,656.767999999998,0.541929229277751,0,0,0,1,0,0,0,0,307.31842576028623,235.42397137745974,11
4,12,862,411.0,234.0,1.0,2.393355129313451,0.7846591702835137,5.0,0.3073083778966132,0.10412378976459266,61.56139089432225,55.94640292279746,5.656854249492381,2.19436769307343,2.0,37.17264776971587,38.16359325664647,-37.415414812656195,322.5399999999993,0.48291316526610645,0,0,0,1,0,0,0,0,390.1009280742459,238.21577726218098,12
4,13,1471,147.0,299.0,1.0,1.2810794506913559,0.3473899223824737,-50.0,0.6259574468085106,0.03614070939505555,50.50333686319339,49.16299421312742,5.0,1.665421293546278,1.4142135623730951,46.0,47.35802791308833,79.98288898279209,715.1759999999982,0.7953500946201676,0,0,0,0,1,0,0,0,142.60027192386133,318.0462270564242,13
4,14,1275,235.0,327.0,1.0,1.5723940825911358,0.2754484935589061,-22.0,0.53125,0.03061821370466938,51.47774229669277,49.24428900898052,4.0,1.5155085984460115,1.4142135623730951,46.8975164500246,49.48636862639681,81.69068308067429,723.385999999998,0.6710526315789473,0,0,0,0,1,0,0,0,224.40627450980392,320.16549019607845,14
4,15,1086,324.0,330.0,1.0,1.8174945624896872,0.34960503974186474,2.0,0.4525,0.044748092946412896,51.705453431294885,50.99019513592785,5.0990195135927845,1.7294679705664326,1.4142135623730951,46.76122654178681,48.44269324260565,86.63731690847418,552.2459999999983,0.562111801242236,0,0,0,0,1,0,0,0,308.76611418047884,321.48710865561696,15
4,16,1019,383.0,323.0,1.0,1.7459398228764882,0.6190152552320649,2.0,0.4005503144654088,0.11061871927666235,52.907323778828335,52.46903848937962,6.082762530298219,2.32548560845959,2.0,41.17359145302937,41.55229902615025,79.58894771296131,340.2339999999991,0.5890173410404624,0,0,0,0,1,0,0,0,392.16584887144256,321.20412168792933,16
4,17,1474,165.0,405.0,1.0,1.3106448193842437,0.26187389899101393,-55.0,0.6267006802721088,0.03250647816267914,50.43925374862418,49.03060268852505,4.47213595499958,1.5614430422459,1.4142135623730951,46.83995230650296,48.67902965258838,67.12572476404308,754.8639999999982,0.7801005557025669,0,0,0,0,0,1,0,0,145.7584803256445,404.04002713704205,17
4,18,1124,242.0,393.0,1.0,1.6307148208853184,0.29089692890432706,-15.0,0.477891156462585,0.027416246134263165,49.33815461414778,48.507731342539614,4.0,1.4773884391832508,1.4142135623730951,45.88999585688828,47.20449638178269,-53.153932144525186,717.7679999999979,0.6244444444444445,0,0,0,0,0,1,0,0,226.94128113879003,405.72153024911034,18
4,19,998,324.0,407.0,1.0,1.8922085723032525,0.384290159358745,1.0,0.4073469387755102,0.042756203117899086,50.923309590804,49.39635614091387,4.47213595499958,1.637152256343468,1.4142135623730951,45.34205044394815,47.01302915076062,31.26436083052948,541.5899999999983,0.535551381808425,0,0,0,0,0,1,0,0,309.9448897795591,403.7875751503006,19
4,20,694,400.0,402.0,1.0,2.465634273532652,0.5336885385770633,4.0,0.33365384615384613,0.13852004479638164,50.37960456409763,51.478150704935004,5.656854249492381,2.240009326674299,2.0,38.58036842211602,42.6050800276963,-67.02011532070095,250.91599999999949,0.460517584605176,0,0,0,0,0,1,0,0,392.03602305475505,404.02737752161386,20
4,21,1668,152.0,506.0,1.0,1.1275878736969998,0.29751613406550514,-51.0,0.7242726877985237,0.07547580515876566,50.0282139425355,49.64876634922564,6.082762530298219,2.022567932596008,2.0,46.0,47.7627758472569,74.42346452434488,526.9859999999992,0.8853503184713374,0,0,0,0,0,0,1,0,146.0083932853717,490.4094724220623,21
