FileName_original,Row1,Row2,Row3,Row4,Row5,Row6,Row7
1D ura crop 4-23-18.tif,7031,5655,4358,3975,5644,6056,6965
1D ura crop 6-26-18.tif,12320,8778,8958,8511,9189,8485,12809
2D azc crop 4-23-18.tif,117,13,2641,126,458,447,2305
2D min crop 4-23-18.tif,6666,4508,3345,3686,3214,4287,6286
2D rapa crop 4-23-18.tif,4106,3528,324,2953,2253,1661,2433
